"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 00:00","2016","05","01","00:00","3.6","","-3.3","","61","","21","","7","","","","97.52","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 01:00","2016","05","01","01:00","3.8","","-3.2","","60","","18","","4","","","","97.53","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 02:00","2016","05","01","02:00","2.1","","-4.7","","61","","21","","6","","","","97.55","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 03:00","2016","05","01","03:00","3.6","","-5.2","","52","","20","","5","","","","97.54","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 04:00","2016","05","01","04:00","3.0","","-5.8","","52","","20","","7","","","","97.53","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 05:00","2016","05","01","05:00","1.2","","-4.4","","66","","3","","2","","","","97.53","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 06:00","2016","05","01","06:00","4.6","","-4.1","","53","","4","","3","","","","97.52","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 07:00","2016","05","01","07:00","7.9","","-6.9","","34","","5","","2","","","","97.51","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 08:00","2016","05","01","08:00","11.2","","-5.6","","30","","4","","3","","","","97.49","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 09:00","2016","05","01","09:00","14.4","","-3.3","","29","","5","","4","","","","97.43","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 10:00","2016","05","01","10:00","19.4","","-8.9","","14","","26","","11","","","","97.36","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 11:00","2016","05","01","11:00","20.2","","-7.4","","15","","26","","19","","","","97.30","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 12:00","2016","05","01","12:00","21.5","","-6.6","","15","","26","","17","","","","97.22","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 13:00","2016","05","01","13:00","22.9","","-5.9","","14","","24","","15","","","","97.15","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 14:00","2016","05","01","14:00","23.0","","-5.1","","15","","29","","13","","","","97.06","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 15:00","2016","05","01","15:00","24.3","","-1.8","","18","","30","","21","","","","97.03","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 16:00","2016","05","01","16:00","24.2","","-1.0","","19","","28","","14","","","","97.01","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 17:00","2016","05","01","17:00","22.8","","0.0","","22","","29","","9","","","","97.00","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 18:00","2016","05","01","18:00","21.5","","0.5","","25","","26","","8","","","","96.96","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 19:00","2016","05","01","19:00","21.8","","0.6","","24","","27","","9","","","","96.95","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 20:00","2016","05","01","20:00","19.5","","1.0","","29","","26","","8","","","","96.98","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 21:00","2016","05","01","21:00","19.0","","1.9","","32","","31","","7","","","","97.02","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 22:00","2016","05","01","22:00","11.8","","2.3","","52","","36","","1","","","","97.05","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-01 23:00","2016","05","01","23:00","9.7","","2.5","","60","","21","","8","","","","97.06","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 00:00","2016","05","02","00:00","10.3","","2.6","","59","","20","","7","","","","97.06","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 01:00","2016","05","02","01:00","8.2","","2.3","","66","","21","","6","","","","97.07","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 02:00","2016","05","02","02:00","7.7","","2.6","","70","","26","","2","","","","97.09","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 03:00","2016","05","02","03:00","5.9","","2.2","","77","","19","","4","","","","97.14","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 04:00","2016","05","02","04:00","5.5","","1.2","","74","","18","","6","","","","97.18","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 05:00","2016","05","02","05:00","5.4","","1.7","","77","","8","","4","","","","97.19","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 06:00","2016","05","02","06:00","7.2","","2.0","","69","","13","","4","","","","97.24","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 07:00","2016","05","02","07:00","12.0","","2.3","","51","","16","","3","","","","97.25","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 08:00","2016","05","02","08:00","15.5","","2.7","","42","","35","","3","","","","97.25","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 09:00","2016","05","02","09:00","18.5","","2.7","","35","","3","","5","","","","97.24","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 10:00","2016","05","02","10:00","22.3","","3.1","","28","","2","","4","","","","97.22","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 11:00","2016","05","02","11:00","24.8","","1.5","","22","","14","","6","","","","97.19","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 12:00","2016","05","02","12:00","25.5","","0.8","","20","","4","","12","","","","97.15","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 13:00","2016","05","02","13:00","26.8","","1.5","","19","","3","","8","","","","97.08","","25","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 14:00","2016","05","02","14:00","26.5","","0.7","","18","","8","","2","","","","97.03","","25","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 15:00","2016","05","02","15:00","26.8","","1.2","","19","","8","","6","","","","96.99","","25","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 16:00","2016","05","02","16:00","26.7","","1.7","","20","","7","","9","","","","96.94","","25","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 17:00","2016","05","02","17:00","26.2","","2.8","","22","","10","","6","","","","96.90","","25","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 18:00","2016","05","02","18:00","24.2","","3.9","","27","","12","","9","","","","96.87","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 19:00","2016","05","02","19:00","21.4","","3.8","","31","","13","","11","","","","96.85","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 20:00","2016","05","02","20:00","19.6","","3.8","","35","","14","","13","","","","96.84","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 21:00","2016","05","02","21:00","16.4","","4.2","","44","","14","","14","","","","96.84","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 22:00","2016","05","02","22:00","15.6","","3.8","","45","","14","","16","","","","96.84","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-02 23:00","2016","05","02","23:00","17.8","","3.6","","39","","10","","17","","","","96.84","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 00:00","2016","05","03","00:00","15.8","","3.7","","44","","11","","17","","","","96.82","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 01:00","2016","05","03","01:00","15.5","","3.5","","45","","10","","15","","","","96.84","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 02:00","2016","05","03","02:00","13.6","","3.5","","50","","10","","14","","","","96.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 03:00","2016","05","03","03:00","13.5","","3.3","","50","","10","","12","","","","96.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 04:00","2016","05","03","04:00","12.1","","3.5","","55","","10","","12","","","","96.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 05:00","2016","05","03","05:00","11.6","","3.3","","56","","10","","10","","","","96.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 06:00","2016","05","03","06:00","13.0","","3.3","","52","","11","","12","","","","96.84","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 07:00","2016","05","03","07:00","14.5","","3.8","","48","","11","","12","","","","96.83","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 08:00","2016","05","03","08:00","17.4","","4.3","","42","","10","","10","","","","96.80","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 09:00","2016","05","03","09:00","19.7","","4.3","","36","","7","","9","","","","96.77","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 10:00","2016","05","03","10:00","23.3","","4.6","","30","","7","","10","","","","96.73","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 11:00","2016","05","03","11:00","27.3","","5.3","","24","","7","","11","","","","96.65","","27","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-05-03 12:00","2016","05","03","12:00","31.2","","-0.2","","13","","24","","18","","","","96.58","","29","","","","NA"
