"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 00:00","2016","06","01","00:00","10.1","","2.7","","60","","16","","14","","","","96.93","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 01:00","2016","06","01","01:00","9.8","","3.3","","64","","10","","5","","","","96.90","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 02:00","2016","06","01","02:00","8.5","","3.9","","73","","10","","6","","","","96.85","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 03:00","2016","06","01","03:00","6.9","","3.7","","80","","10","","7","","","","96.79","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 04:00","2016","06","01","04:00","7.1","","3.6","","79","","11","","8","","","","96.75","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 05:00","2016","06","01","05:00","8.1","","3.8","","74","","10","","10","","","","96.74","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 06:00","2016","06","01","06:00","9.3","","4.1","","70","","10","","7","","","","96.72","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 07:00","2016","06","01","07:00","11.2","","5.3","","67","","10","","9","","","","96.67","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 08:00","2016","06","01","08:00","13.2","","6.2","","62","","4","","7","","","","96.63","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 09:00","2016","06","01","09:00","14.3","","7.2","","62","","9","","9","","","","96.59","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 10:00","2016","06","01","10:00","16.9","","7.3","","53","","10","","4","","","","96.57","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 11:00","2016","06","01","11:00","18.0","","6.4","","47","","24","","9","","","","96.51","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 12:00","2016","06","01","12:00","18.5","","6.2","","45","","14","","4","","","","96.46","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 13:00","2016","06","01","13:00","19.2","","5.9","","42","","34","","5","","","","96.39","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 14:00","2016","06","01","14:00","14.1","","10.0","","76","","21","","25","","","","96.50","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 15:00","2016","06","01","15:00","13.4","","10.1","","80","","23","","7","","","","96.45","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 16:00","2016","06","01","16:00","14.2","","10.2","","77","","5","","8","","","","96.37","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 17:00","2016","06","01","17:00","15.6","","10.7","","72","","11","","6","","","","96.34","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 18:00","2016","06","01","18:00","17.0","","9.0","","59","","16","","8","","","","96.31","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 19:00","2016","06","01","19:00","17.0","","9.0","","59","","13","","13","","","","96.28","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 20:00","2016","06","01","20:00","14.9","","8.9","","67","","12","","10","","","","96.30","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 21:00","2016","06","01","21:00","13.3","","9.2","","76","","13","","10","","","","96.28","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 22:00","2016","06","01","22:00","12.2","","8.7","","79","","12","","9","","","","96.26","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-01 23:00","2016","06","01","23:00","11.6","","9.2","","85","","12","","11","","","","96.23","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 00:00","2016","06","02","00:00","9.6","","8.2","","91","","16","","10","","","","96.24","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 01:00","2016","06","02","01:00","9.5","","8.8","","95","","10","","3","","","","96.22","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 02:00","2016","06","02","02:00","6.1","","5.2","","94","","15","","3","","","","96.21","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 03:00","2016","06","02","03:00","5.5","","5.1","","98","","14","","2","","","","96.21","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 04:00","2016","06","02","04:00","5.2","","4.9","","98","","15","","6","","","","96.22","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 05:00","2016","06","02","05:00","5.8","","5.5","","98","","14","","5","","","","96.21","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 06:00","2016","06","02","06:00","7.7","","6.6","","93","","13","","9","","","","96.21","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 07:00","2016","06","02","07:00","9.9","","7.4","","85","","9","","7","","","","96.21","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 08:00","2016","06","02","08:00","11.5","","8.8","","83","","7","","9","","","","96.20","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 09:00","2016","06","02","09:00","13.4","","7.8","","69","","7","","6","","","","96.18","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 10:00","2016","06","02","10:00","14.7","","6.9","","60","","6","","6","","","","96.14","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 11:00","2016","06","02","11:00","19.9","","10.3","","54","","4","","7","","","","96.10","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-06-02 12:00","2016","06","02","12:00","21.6","","6.9","","39","","10","","10","","","","96.06","","","","","","NA"
