"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 00:00","2016","08","01","00:00","14.5","","13.1","","92","","26","","13","","","","95.94","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 01:00","2016","08","01","01:00","14.7","","12.8","","88","","27","","15","","","","95.91","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 02:00","2016","08","01","02:00","14.5","","12.8","","90","","28","","12","","","","95.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 03:00","2016","08","01","03:00","14.5","","12.9","","90","","28","","15","","","","95.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 04:00","2016","08","01","04:00","14.5","","12.6","","89","","28","","13","","","","95.83","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 05:00","2016","08","01","05:00","14.6","","12.8","","89","","27","","11","","","","95.82","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 06:00","2016","08","01","06:00","15.6","","13.1","","85","","29","","19","","","","95.83","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 07:00","2016","08","01","07:00","16.1","","12.8","","81","","31","","22","","","","95.85","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 08:00","2016","08","01","08:00","15.8","","12.9","","83","","31","","24","","","","95.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 09:00","2016","08","01","09:00","17.0","","12.9","","77","","30","","29","","","","95.86","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 10:00","2016","08","01","10:00","17.3","","12.8","","75","","30","","28","","","","95.88","","","","","","NA"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2016-08-01 11:00","2016","08","01","11:00","18.0","","13.2","","74","","29","","30","","","","95.91","","","","","","NA"
